구분,국문,영문,비고
해외영화제,핫독국제다큐멘터리영화제,Hot Docs International Documentary Film Festival,
해외영화제,밴프산악영화제,Banff Center Mountain Film,
해외영화제,켄달산악축제,Kendal Mountain Festival,
해외영화제,선댄스영화제,Sundance Film Festival,
해외영화제,와일드스크린영화제,Wildscreen Film Festival,
해외영화제,트렌토영화제,Trento Film Festival,
해외영화제,반스코국제산악영화제,Bansko International Film Festival for Mountains,
해외영화제,빌바오산악영화제,Bilbao Mendi Film Festival,
해외영화제,체르비노국제산악영화제,Cervino Cine Mountain Festival,
해외영화제,던디산악영화제,Dundee Mountain Film Festival,
해외영화제,윌리암스버그독립영화제,Williamsburg Independent Film Festival,
해외영화제,텔룰라이드산악영화제,Telluride Mountain Film Festival,
해외영화제,사비니애니메이션영화제,Animation Film Festival of Savigny,
해외영화제,로테르담국제영화제,International Film Festival Rotterdam,
해외영화제,비종뒤릴영화제,Visions du Réel,
해외영화제,포르토벨로영화제,Portobello Film Festvial,
해외영화제,시네마뒤릴,Cinéma du Réel,
해외영화제,에든버러국제영화제,Edinburg International Film Festival,
해외영화제,누보시네마영화제,Festival du Nouveau Cinema,
해외영화제,카를로비바리국제영화제,Karlovy Vary International Film Festival,
해외영화제,브루클린영화제,Brooklyn Film Fest,
해외영화제,아스펜단편영화제,Aspen Shortsfest,
해외영화제,앤아버영화제,Ann Arbor Film Festival,
해외영화제,예테보리국제영화제,Gothenburg Film Festival,
해외영화제,브졸국제아시아영화제,Vesoul International Film Festival of Asian Cinemas,
해외영화제,오트랑국제산악영화제,Festival International du Film de Montagne Autrans,
해외영화제,그라츠산악영화제,International Film Festival Graz,
해외영화제,더치산악영화제,Dutch Mountain Film Festival,
해외영화제,클레르몽페랑국제단편영화제,Clermont-Ferrand,
해외영화제,내쉬빌영화제,Nashville Film Festival,
해외영화제,크라쿠프영화제,Krakow Film Festival,
해외영화제,예루살렘영화제,Jerusalem Film Festival,
해외영화제,칸영화제,Cannes Film Festival,
해외영화제,밴쿠버국제영화제,Vancouver International Film Festival,
해외영화제,토론토국제영화제,Toronto International Film Festival,
해외영화제,라이프치히국제다큐멘터리영화제,DOK Leipzig - International Festival for Documentary Film,
해외영화제,마르델플라타국제영화제,Mar del Plata International Film Festival,
해외영화제,탐페레영화제,Tampere Film Festival,
해외영화제,카트만두세계산악영화제,Kathmandu International Mountain Film Festival,
해외학교,런던예술대학교,University of the Arts London,
해외학교,스코페드라마예술대학,Faculty of Dramatic Arts Skopje,
해외학교,국립연극영화아카데미,National Academy for Theatre and Film Arts(NATFA),
해외학교,폼페우파브라대학교,Pompeu Fabra University,
해외학교,뒤셀도르프예술대학,Art Academy of Düsseldorf,
해외학교,빈영화아카데미,Vienna Film Academy,
해외학교,미들베리대학,Middlebury College,
해외학교,요크대학교,York University,
해외학교,존무어대학,John Moores University,
해외학교,루쉰미술아카데미,Lu Xun Academy of Fine Arts,
해외학교,충칭대학교,Chongqing University,
해외학교,콜롬비아국립대학교,National University of Colombia,
해외학교,베오그라드대학교,University of Belgrade,
해외학교,코넬대학교,Cornell University,
해외학교,바츨라프홀라르대학교,Václav Hollar College,
해외학교,바덴뷔르템베르크영화학교,Filmakademie Baden-Württemberg,
해외학교,푸젠가톨릭대학교,Fu Jen Catholic University,
해외학교,루체른응용과학예술대학,Lucerne University of Applied Sciences and Arts,
해외학교,위트레흐트예술대학,University of the Arts Utrecht,
해외학교,빈데샤임대학,Windesheim College,
해외학교,휴베어드대학,Hugh Baird College,
해외학교,타우슨대학교,Towson University,
해외학교,함부르크대학,Hamburg College,
해외학교,콘코디아대학교,Concordia University,
